Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité
2025/05/05 08:00:00;2025/05/05 09:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;Auto NO2_NOx Conf meth CHIMILU;moyenne horaire validée;6.5;6.475;µg-m3;;;;A;1
2025/05/05 09:00:00;2025/05/05 10:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;Auto NO2_NOx Conf meth CHIMILU;moyenne horaire validée;6.4;6.375;µg-m3;;;;A;1
2025/05/05 10:00:00;2025/05/05 11:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;Auto NO2_NOx Conf meth CHIMILU;moyenne horaire validée;9;8.975;µg-m3;;;;A;1
2025/05/05 11:00:00;2025/05/05 12:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;Auto NO2_NOx Conf meth CHIMILU;moyenne horaire validée;12.5;12.5;µg-m3;;;;A;1
2025/05/05 12:00:00;2025/05/05 13:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;Auto NO2_NOx Conf meth CHIMILU;moyenne horaire validée;5.5;5.5;µg-m3;;;;A;1
2025/05/05 13:00:00;2025/05/05 14:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;Auto NO2_NOx Conf meth CHIMILU;moyenne horaire validée;5.8;5.75;µg-m3;;;;A;1
2025/05/05 14:00:00;2025/05/05 15:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;Auto NO2_NOx Conf meth CHIMILU;moyenne horaire validée;7.7;7.725;µg-m3;;;;A;1
2025/05/05 15:00:00;2025/05/05 16:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;Auto NO2_NOx Conf meth CHIMILU;moyenne horaire validée;6.9;6.925;µg-m3;;;;A;1
2025/05/05 16:00:00;2025/05/05 17:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;Auto NO2_NOx Conf meth CHIMILU;moyenne horaire validée;5.9;5.925;µg-m3;;;;A;1
2025/05/05 17:00:00;2025/05/05 18:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;Auto NO2_NOx Conf meth CHIMILU;moyenne horaire validée;6.3;6.275;µg-m3;;;;A;1
